#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321A363E3
#Date Time: 2017-09-20 15:02:48.755

Frequency (Hz),Channel 2 (dBV)
0,-36.802043807532769
488.40048840048843,-37.16057327974557
976.80097680097685,-40.547051340298353
1465.2014652014652,-49.968940529159113
1953.6019536019537,-66.806025622927635
2442.002442002442,-81.951630375712739
2930.4029304029305,-71.929771247668313
3418.8034188034189,-71.687345053182611
3907.2039072039074,-74.456326521550494
4395.6043956043959,-82.074977141191766
4884.0048840048839,-111.62755786421094
5372.405372405372,-86.833463243697224
5860.8058608058609,-92.270985962356903
6349.2063492063489,-85.622097846297166
6837.6068376068379,-79.673695121652528
7326.0073260073259,-75.826124426686675
7814.4078144078148,-72.105730582733855
8302.808302808302,-70.899252571179716
8791.2087912087918,-73.005287520322213
9279.6092796092798,-74.569837762545774
9768.0097680097679,-72.938673610022491
10256.410256410256,-74.447795634240649
10744.810744810744,-76.516839756210715
11233.211233211234,-76.868511455739466
11721.611721611722,-76.21185082642927
12210.01221001221,-78.874548730914668
12698.412698412698,-82.395281107780875
13186.813186813188,-76.652214819798189
13675.213675213676,-70.934499510058245
14163.614163614164,-68.685897935311587
14652.014652014652,-66.863733288196585
15140.41514041514,-66.783628323826832
15628.81562881563,-67.267382243479005
16117.216117216118,-69.248574281366871
16605.616605616604,-70.83725108789622
17094.017094017094,-75.611104458208885
17582.417582417584,-75.901065467068591
18070.81807081807,-26.332441677888546
18559.21855921856,-4.2233878501316475
19047.619047619046,5.8611371465566497
19536.019536019536,9.1549224235279922
20024.420024420026,9.418869894283489
20512.820512820512,9.0589421949298519
21001.221001221002,5.3511157641984788
21489.621489621488,-5.4331680268725702
21978.021978021978,-28.992936611276669
22466.422466422468,-72.711947033090198
22954.822954822954,-73.586011437757463
23443.223443223444,-74.004367624617075
23931.62393162393,-73.399203422041509
24420.02442002442,-75.810701644494941
24908.42490842491,-75.299150333791388
25396.825396825396,-76.519967403502903
25885.225885225886,-73.719838021912295
26373.626373626375,-75.424267853364881
26862.026862026862,-83.419578198070894
27350.427350427351,-87.30009423556703
27838.827838827838,-78.291229665041442
28327.228327228328,-76.216886301153423
28815.628815628817,-80.061852760694094
29304.029304029304,-84.580706413918023
29792.429792429793,-82.745103895832614
30280.83028083028,-77.441676584237499
30769.23076923077,-75.072720634238721
31257.631257631259,-76.652506749263068
31746.031746031746,-79.639783930158529
32234.432234432235,-76.036987860263949
32722.832722832722,-71.618769126175607
33211.233211233208,-68.564549813095581
33699.633699633698,-69.658803767949905
34188.034188034188,-73.311260446381667
34676.434676434677,-77.817441753896361
35164.835164835167,-79.551711144989937
35653.23565323565,-84.966965225405161
36141.63614163614,-78.221461833301319
36630.03663003663,-77.375295699488206
37118.437118437119,-79.288432520357702
37606.837606837609,-78.4585409068346
38095.238095238092,-41.382289472727805
38583.638583638582,-19.970290136949643
39072.039072039071,-10.225210771200967
39560.439560439561,-7.1284929885902226
40048.840048840051,-6.904847517958097
40537.240537240534,-7.3226396083813938
41025.641025641024,-11.248591952937655
41514.041514041513,-22.410830580857311
42002.442002442003,-47.256518817183462
42490.842490842493,-72.414982785146847
42979.242979242976,-71.619971758715252
43467.643467643466,-71.78846209872701
43956.043956043955,-70.87162801967547
44444.444444444445,-70.378401818081784
44932.844932844935,-72.004371633557739
